"id","product_code","product_name","product_type","product_desc","status","del_flag","remark","create_id","create_name","create_time","update_id","update_name","update_time"
"91","12220004066","ASZ-天线罩 A597-1032","-1","ASZ-天线罩 A597-1032","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"92","12220002831","ASZ-天线罩 631908-1","-1","ASZ-天线罩 631908-1","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"93","12220004202","ASZ-天线罩 625081-1","-1","ASZ-天线罩 625081-1","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"94","12220002778","RFS-天线罩 30040127","-1","RFS-天线罩 30040127","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"95","12220000667","ASZ-天线罩 A991-1937-13","-1","ASZ-天线罩 A991-1937-13","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"96","12220002542","ASZ-天线罩 632544-1","-1","ASZ-天线罩 632544-1","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"97","12220006964","JLE-天线罩（ASA 成品）A60-00763","-1","JLE-天线罩（ASA 成品）A60-00763","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"98","12220001861","RFS-天线罩 20046164","-1","RFS-天线罩 20046164","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"99","12220001813","RFS-天线罩 30039766","-1","RFS-天线罩 30039766","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"100","12220003703","ASZ-天线罩 628272-1","-1","ASZ-天线罩 628272-1","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"101","12220000076","ASZ-天线罩 A991-3048-2523","-1","ASZ-天线罩 A991-3048-2523","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"102","12220006093","MDA-双驱滚筒控板组件 星泽灰 12138100023423","-1","MDA-双驱滚筒控板组件 星泽灰 12138100023423","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"103","12220003428","ASZ-天线罩 657161-1","-1","ASZ-天线罩 657161-1","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"104","12220001720","RFS-天线罩 20044780","-1","RFS-天线罩 20044780","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"105","12220002806","RFS-天线罩 30039733","-1","RFS-天线罩 30039733","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"106","12220005391","RFS-玻璃钢天线罩 20046052","-1","RFS-玻璃钢天线罩 20046052","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
